,Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
45,194582,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,German,Unknown,1755,1765,Stoneware,"Gift of Mrs. Robert W. de Forest, 1920",Unknown
46,198408,European Sculpture and Decorative Arts,Plaque,Marriage of Peleus and Thetis,Italian,Italian,1570,1580,Bronze,"Samuel D. Lee Fund, 1939",Unknown
47,200381,European Sculpture and Decorative Arts,Snuffbox,Snuffbox,German,Unknown,1770,1780,Gold,"Bequest of Catherine D. Wentworth, 1948",Unknown
48,201480,European Sculpture and Decorative Arts,Chess set,Chess set,German,Unknown,1800,1899,Metal,"Gift of Gustavus A. Pfeiffer, 1953",Unknown
49,203525,European Sculpture and Decorative Arts,Toy,Partridges in wheatsheaf,British,Unknown,1750,1760,Soft-paste porcelain,"Gift of Irwin Untermyer, 1964",Unknown
50,211642,European Sculpture and Decorative Arts,Souvenir spoon,Souvenir spoon,European,Unknown,1885,1899,Gilt and enamel,"Gift of Sir William H. Redding, in memory of his wife, 1907",Unknown
51,218086,European Sculpture and Decorative Arts,Border,Border,Italian,Unknown,1600,1699,Needle lace,"Purchase by subscription, 1909",Unknown
52,218343,European Sculpture and Decorative Arts,Fragment,Fragment,Spanish,Unknown,1800,1815,Machine net,"Purchase by subscription, 1909",Unknown
53,226057,European Sculpture and Decorative Arts,Borders,Borders,French,Unknown,1700,1815,Needle lace,"Gift of Ann Payne Blumenthal, 1936",Unknown
54,229526,European Sculpture and Decorative Arts,Panel,Panel,French,Unknown,1775,1780,Silk,"Gift of Mrs. Janet S. Kaffenburgh in memory of her grandmother Mrs. Joseph Garson of Rochester, N.Y., 1976",Unknown
55,236638,European Sculpture and Decorative Arts,Plaque,Head described as that of Saint James the Elder,German,Unknown,1800,1899,Iron,"Gift of Martin and Roberta Lerner, 2009",Unknown
56,241148,Greek and Roman Art,Statuette of a seated goddess,Terracotta statuette of a seated goddess,Cypriot,Unknown,325 BC,275 BC,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",Unknown
57,244271,Greek and Roman Art,Axehead,Axehead,Cypriot,Unknown,3200 BC,2000 BC,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",Unknown
58,246324,Greek and Roman Art,"Fibula, boat-shaped type","Fibula, boat-shaped type",Italian,Unknown,800 BC,501 BC,Bronze,"Purchase, 1896",Unknown
59,250722,Greek and Roman Art,"Statuette of a woman, seated",Terracotta statuette of a seated woman,Greek,Unknown,524 BC,475 BC,Terracotta,"Gift of Henry S. Washington, 1919",Unknown
60,252173,Greek and Roman Art,Seal,Jasper amygdaloid seal,Minoan,Unknown,1600 BC,1450 BC,Jasper,"Bequest of Richard B. Seager, 1926",Unknown
61,252221,Greek and Roman Art,Seal,Seal,Minoan,Unknown,2000 BC,1450 BC,Haemaetite,"Bequest of Richard B. Seager, 1926",Unknown
62,262991,Photographs,Photograph,[Detail of Vanitas Figures Carved on the Choir Stalls at Amiens Cathedral],Unknown,Unknown,1860,1869,Albumen silver print from glass negative,"Gift of Lucien Goldschmidt, 1981",Unknown
63,263514,Photographs,Photograph,Robert Motherwell,Unknown,American,1981,1981,Gelatin silver print,"Gift of the artist, 1983",Unknown
64,265758,Photographs,Photograph,[Graffiti on Backstage Door of the School of American Ballet],Unknown,American,1945,1945,Gelatin silver print,"Gift of Paul F. Walter, in memory of Christopher Hemphill, 1987",Unknown
65,266167,Photographs,Photograph,[Study of Australian Grapes],Unknown,Unknown,1858,1862,Albumen silver print from glass negative,"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1989",Unknown
66,269735,Photographs,Photograph,Sous bois,Unknown,Belgian,1922,1922,Bromoil print,"Gift of Clarence McK. Lewis, 1954",Unknown
67,271904,Photographs,Glass positive,Margaret Eakins,Unknown,American,1880,1889,Glass positive ,"Gift of Charles Bregler, 1947",Unknown
68,273592,Photographs,Negative,[Peggy Bacon],Unknown,American,1934,1934,Film negative,"Walker Evans Archive, 1994",Unknown
69,276937,Photographs,Negative,"[Two 35mm Film Frames: Boys Playing on Stoop Near Elevated Train Tracks, New York City]",Unknown,American,1933,1934,Film negative,"Walker Evans Archive, 1994",Unknown
70,286197,Photographs,Photograph,"Rouen, Place Eau-de-Robec",Unknown,French,1908,1908,Matte albumen silver print from glass negative,"Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",Unknown
71,311479,"Arts of Africa, Oceania, and the Americas",Horn,Horn,Asmat people,Unknown,1900,2000,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
72,312687,"Arts of Africa, Oceania, and the Americas",Snake figure,Coiled Serpent,Aztec,Unknown,1400,1600,"Stone, pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
73,313019,"Arts of Africa, Oceania, and the Americas",Pendant,Figure Pendant,Atlantic Watershed,Unknown,300,800,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
74,316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,Unknown,1900,2000,"Paper, paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
76,317005,Unknown,Cloth,Carrying Cloth,Quechua,Unknown,1900,2000,Camelid hair,"Bequest of Arthur M. Bullowa, 1993  ",Peru
77,317135,"Arts of Africa, Oceania, and the Americas",Ritual stone,Stone Pulidor,Mexican,Unknown,1200,1600,Stone,"Bequest of Arthur M. Bullowa, 1993  ",Mexico
78,319532,"Arts of Africa, Oceania, and the Americas",Costume element,Ceremonial Costume Element,Timor,Unknown,1850,1950,"Cotton, glass beads","Bequest of John B. Elliott, 1997",Indonesia
79,323644,Ancient Near Eastern Art,Sherd,Sherd,Iranian,Unknown,3505 BC,3100 BC,"Ceramic, paint","Rogers Fund, 1938",Unknown
80,325714,Ancient Near Eastern Art,Sculpture,Bird standard,Unknown,Unknown,2500 BC,2500 BC,Copper alloy,"Purchase, Schimmel Foundation Inc. Gift, 1965",Unknown
81,327150,Ancient Near Eastern Art,Bead,Bead,Unknown,Unknown,7000 BC,5000 BC,Calcite,"Gift of Sheldon and Barbara Breitbart, 1985",Unknown
82,339097,Drawings and Prints,Print; Poster,New York Ledger: Bicycle Number,Unknown,American,1895,1895,Lithograph,"Gift of Bessie Potter Vonnoh, 1941",Unknown
83,339407,Drawings and Prints,Drawing,Figure Studies,Unknown,Italian,1696,1770,"Pen and brown ink, over black chalk, on beige paper","Rogers Fund, 1964",Unknown
84,341146,Drawings and Prints,Print,Reciprocated Love,Unknown,Italian,1584,1600,Engraving,"Harris Brisbane Dick Fund, 1927",Unknown
85,341485,Drawings and Prints,Print,"Rest on the flight into Egypt, Mary holding and looking at the infant Christ while St. Joseph reads",Unknown,Italian,1632,1642,Etching,"Harris Brisbane Dick Fund, 1926",Unknown
86,345964,Drawings and Prints,Book,Meubles Modernes,Unknown,French,1875,1890,Chromolithography,"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1987",Unknown
87,346186,Drawings and Prints,Book,Blossoms of Childhood,Unknown,American,1840,1840,Illustrations: wood engraving,"Anonymous Gift, 1941",Unknown
88,347789,Drawings and Prints,Book,"The Comical History of Lord Flutter, Lord Spindle and Sir Harry Hopscotch; or, the Bee, the Wasp, and the Ant",Unknown,British,1800,1900,"Wood engraving, hand colored","Gift of Lincoln Kirstein, 1964",Unknown
89,350011,Drawings and Prints,Book,"Seamless Plain Solid Gold Rings, Engraved Rings, Diamond Rings, Mountings, Ladies' Stone Rings, Chains, Diamond Cutters",Unknown,American,1902,1902,Illustrations: photomechanical process,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",Unknown
90,350542,Drawings and Prints,Book,"Performing Tea Ceremony, The Miyako Odori for 1935, and eight stage sets",Unknown,Japanese,1930,1940,Illustrations: photographic method and color prints,"Gift of Lincoln Kirstein, 1986",Unknown
91,353752,Drawings and Prints,Book,Plates in Missel de Notre-Dame de France,Unknown,French,1899,1899,Unknown,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963",Unknown
92,355115,Drawings and Prints,Book,"Exposition Lorraine. L'École de Nancy au Musée de l'Union Centrale des Arts Décoratifs. Pavillon de Marsan, A Paris. Ier Série: Le Moblier",Unknown,French,1900,1910,Heliotype print,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",Unknown
93,357808,Drawings and Prints,Book,Enoch Arden,Unknown,British,1866,1866,Illustrations: wood engraving,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",Unknown
94,360463,Drawings and Prints,Drawing,"St. Peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)St. Peter's, exterior, tabernacle, elevation and section at arched opening (verso)",Unknown,French,1500,1560,"Dark brown ink, black chalk, and incised lines","Gift of Janos Scholz and Anne Bigelow Scholz, in memory of Flying Officer Walter Bigelow Rosen, RCAF, 1949",Unknown
95,360750,Drawings and Prints,Print,Head of a muscular old man in profile to left with flowing hair,Unknown,"Bohemian, Italian",1677,1625,Etching; only state,"Purchase, Joseph Pulitzer Bequest, 1917",Unknown
96,363070,Drawings and Prints,Print,"View of the Basilica of San Sebastiano fuori delle mura [St. Sebastian outside the Walls] on the Appian Way, from Vedute di Roma (Roman Views)",Unknown,Italian,1745,1755,Etching; first state of four (Hind),"Gift of Mrs. David Keppel, 1960",Unknown
97,363754,Drawings and Prints,Drawing,Design for Pointed Utensil with an Egyptian Style Figure on the Handle,Unknown,Italian,1548,1612,"Pen and brown ink, brush and brown wash, over black chalk.","Mrs. Regina Slatkin, 1963",Unknown
98,365646,Drawings and Prints,Drawing,Saint Paul,Unknown,Italian,1591,1666,"Pen and brown ink, brush and brown ink, over lead point or graphite.","Gift of Cornelius Vanderbilt, 1880",Unknown
99,367617,Drawings and Prints,Drawing Ornament & Architecture,Francis W. Little House: Furniture Plan,Unknown,American,1908,1914,Graphite and orange and brown pencil,"Purchase, Emily Crane Chadborne Bequest, 1972",Unknown
100,371229,Drawings and Prints,Print,"Theodoric IV from the series Counts and Countesses of Holland, Zeeland, and West-Frisia",Unknown,Dutch,1650,1650,Engraving and etching; second state of three,"Gift of Mrs. Hugo Elliot, 1941",Unknown
101,377953,Drawings and Prints,Book,L'Art de bâtir des maisons de Campagne,Unknown,French,1743,1743,Printed book with engraved illustrations,"Rogers Fund, 1952",Unknown
102,378518,Drawings and Prints,Drawing,"Design for Vis-à-vis, no. 3223",Unknown,American,1876,1876,"Pen and black ink, watercolor and gouache with gum arabic","Gift of William Brewster, 1923",Unknown
103,378914,Drawings and Prints,Drawing,"Design for Pony Phaeton, no. 3162",Unknown,American,1875,1875,"Pen and black ink, watercolor and gouache","Gift of William Brewster, 1923",Unknown
104,386510,Drawings and Prints,Drawing ; Ornament and architecture,"Ceiling Design, Half of a Circle",Unknown,British,1800,1899,Watercolor with gold,"Gift of the Royal Institute of British Architects, 1961",Unknown
105,391909,Drawings and Prints,Print,Canal with an Angler and Two Swans,Unknown,Dutch,1643,1653,Etching and drypoint; second of two states,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Unknown
106,396269,Drawings and Prints,Print,GERYON,Unknown,American,1957,1957,"Etching, aquatint and drypoint; states 1-8","John B. Turner Fund, 2011",Unknown
107,397577,Drawings and Prints,Print,"Syzygy or the Conjunction of the Macrocosmic Unity with the Microcosmic Triunity from Heinrich Khunrath, Amphiteatrum sapientiae aeternae",Unknown,"German, Netherlandish",1535,1611,Engraving from a circular plate,"Purchase, C. G. Boerner Gift, 2011",Unknown
108,399078,Drawings and Prints,Print,Horse Group #17,Unknown,American,1935,1943,Lithograph,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",Unknown
109,399085,Drawings and Prints,Print,Whither Mankind,Unknown,American,1935,1943,Silkscreen,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",Unknown
110,399877,Drawings and Prints,Print,"The dream of St Joseph, who is sleeping at the right, the Virgin and Child by a cross surrounded by angels and many putti and with God the Father above",Unknown,Italian,1600,1650,Etching,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",Unknown
111,400013,Drawings and Prints,Baseball card,"Sullivan, Left Field, Chicago, from the Gold Coin series (N284) for Gold Coin Chewing Tobacco",Unknown,Unknown,1887,1887,Commercial color lithography reproducing drawings,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
112,400018,Drawings and Prints,Print,Section and elevation of the Colosseum in Rome,Unknown,Italian,1581,1581,Etching,"Bequest of Phyllis Massar, 2011",Unknown
113,404850,Drawings and Prints,Print,"Chairing the Members, Plate IV: Four Prints of an Election",Unknown,"British, French",1758,1758,Etching and engraving; third state of three,"Gift of Sarah Lazarus, 1891",Unknown
114,410156,Drawings and Prints,Print,"George Bubear, Oarsman, from World's Champions, Series 1 (N28) for Allen & Ginter Cigarettes",Unknown,American,1887,1887,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
115,410683,Drawings and Prints,Baseball card,"Louis Chiozza; verso: Diamond Stars, No. 80 (1934 Averages)",Unknown,Unknown,1935,1935,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
116,415848,Drawings and Prints,Print,"Prise de la Ville de Bone (Capture of the City of Bonne), from La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis (The Life of Ferdinand I de'Medici also called The Medici Battles)",Unknown,"French, Italian",1614,1620,Engraving; first state of two (Lieure),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",Unknown
117,417951,Drawings and Prints,Print,The Impossibility,Unknown,German,1548,1548,Engraving,"Gift of Harry G. Friedman, 1959",Unknown
118,419823,Drawings and Prints,Print,"S. Antioche, médecin (St. Antiochus, Doctor), July 15th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)",Unknown,French,1636,1636,Etching; second state of two (Lieure),"Purchase, Joseph Pulitzer Bequest, 1917",Unknown
119,428594,Drawings and Prints,Print,Sea-Bass Fisherman,Unknown,American,1900,1931,Etching,"Robert B. Dodson Fund, 1931",Unknown
120,428786,Drawings and Prints,Print,Reverse Copy of Madame Bouthillier (Marie de Bragelogne),Unknown,French,1810,1820,Engraving,"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",Unknown
121,430474,Drawings and Prints,Print,"Reconnoitering, from the Boy Scouts series (E42) for the Fisher Candy Co.",Unknown,American,1910,1910,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
122,431102,Drawings and Prints,Print,Vues de St. Petersbourg,Unknown,French,1840,1840,"Lithography, hand-colored","Gift of Robert D. Brewster, 1951",Unknown
123,433636,Drawings and Prints,"Baseball card, print","Fitzgerald, Sacramento, Pacific Coast League, from the ""Obak Baseball Players"" set (T212), issued by the American Tobacco Company to promote Obak Mouthpiece Cigarettes",Unknown,Unknown,1910,1910,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
124,434286,Drawings and Prints,"Baseball card, print","Spencer, Catcher, Boston, American League, from the Baseball Players (Ramlys) series (T204) issued by the Mentor Company to promote Ramly and T.T.T. Turkish Cigarettes",Unknown,Unknown,1909,1909,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
125,446304,Islamic Art,Fragment,Fragment of a Bowl,Unknown,Unknown,1300,1499,Earthenware; incised decoration through a white slip and coloring under a transparent glaze.,"Rogers Fund, 1913",Egypt
126,447944,Islamic Art,Fragment,Fragment,Unknown,Unknown,1700,1799,Cotton; painted,"Rogers Fund, 1926",India
127,449151,Islamic Art,Dado panel,Dado Panel,Unknown,Unknown,1900,1999,Plaster; cast,"Rogers Fund, 1937",Iran
128,452672,Islamic Art,Folio from an illustrated manuscript,"""Yusuf and Zulaikha"", Folio 51r from a Bustan of Sa`di",Unknown,Unknown,1500,1560,"Ink, opaque watercolor, and gold on paper","Purchase, Louis V. Bell Fund and The Vincent Astor Foundation Gift, 1974",Uzbekistan
129,459471,Robert Lehman Collection,Drawing,Head of a Man in Profile,Unknown,Italian,1490,1499,"Black chalk, pen and brown ink, heightened with white.","Robert Lehman Collection, 1975",Unknown
130,466522,Medieval Art,Fragment,Glass Fragment,French,Unknown,1200,1299,Colorless glass,"Gift of Dr. Bashford Dean, 1923",France
131,468605,Medieval Art,Hilt,Eagle-Headed Hilt,Byzantine,Unknown,300,400,Copper alloy,"Gift of Lawrence J. Majewski, 1963",Unknown
132,469993,The Cloisters,Panel,Grisaille Panel,French,Unknown,1250,1270,White and pot-metal glass with vitreous paint,"The Cloisters Collection, 1982",France
133,470842,The Cloisters,Capital,Capital,Catalan,Unknown,1100,1150,Marble,"The Cloisters Collection, 1925",France
134,471090,The Cloisters,Roundel,Roundel with Saint John the Baptist,South Netherlandish,Unknown,1510,1520,"Colorless glass, silver stain, vitreous paint","The Cloisters Collection, 1932",Unknown
135,482952,Modern and Contemporary Art,Drawing,Untitled,Unknown,"American, born Russia",1940,1940,Graphite on paper,"Gift of Mr. and Mrs. Meyer Schapiro, 1983",Unknown
136,485091,Modern and Contemporary Art,Glass,Glass,Unknown,Finnish,1950,1959,Glass,"Purchase, Theodore R. Gamble Jr. Gift, in honor of his mother, Mrs. Theodore Robert Gamble, 1988",Unknown
137,486390,Modern and Contemporary Art,Design,"Design for a Washstand for the Blue Bedroom, Hous'hill",Unknown,"British, Scottish",1904,1904,Watercolor and graphite on paper,"Purchase, Lila Acheson Wallace Gift, 1994",Unknown
138,486599,Modern and Contemporary Art,Bowl,"""Tard la Nuit"" Bowl",Unknown,Italian,1989,1989,Glass,"Gift of Peter T. Joseph, 1995",Unknown
140,488438,Modern and Contemporary Art,Drawing,Alvin Langdon Coburn,Unknown,Mexican,1910,1910,"Ink, watercolor, metallic paint, and graphite on paper","Alfred Stieglitz Collection, 1949",Unknown
141,544812,Egyptian Art,"Figurine, female, fragmentary",Upper Half of a Female Figurine,Unknown,Unknown,1981 BC,1981 BC,Pottery,"Gift of Albert M. Lythgoe, 1917",Egypt
142,545193,Egyptian Art,"Ostracon, hieratic",Hieratic ostracon,Unknown,Unknown,1295 BC,1295 BC,"Limestone, ink, paint","Gift of Theodore M. Davis, 1909",Egypt
143,547202,Egyptian Art,"Figurine, seated woman",Figurine of a Seated Woman,Unknown,Unknown,3450 BC,3300 BC,"Limestone, organic material, paint, malachite","Rogers Fund, 1907",Egypt
144,547248,Egyptian Art,"Beaker, white cross-lined ware",White cross-lined ware beaker decorated with zigzags,Unknown,Unknown,3900 BC,3650 BC,"Pottery, paint","Rogers Fund, 1907",Egypt
145,549075,Egyptian Art,Club,Club,Unknown,Unknown,1473 BC,1458 BC,Wood,"Rogers Fund, 1936",Egypt
146,556721,Egyptian Art,"Basket, coil, lid",Cylindrical Coil Basket with Lid,Unknown,Unknown,2124 BC,2124 BC,Grasses,"Rogers Fund, 1931",Egypt
147,563318,Egyptian Art,Jar Label,Jar label fragments,Unknown,Unknown,1390 BC,1390 BC,"Pottery and ink, paint","Rogers Fund, 1917",Egypt
149,563892,Egyptian Art,"Jar Label, meat",Jar Label,Unknown,Unknown,1390 BC,1390 BC,"Pottery and ink, paint","Rogers Fund, 1917",Egypt
150,564519,Egyptian Art,Relief fragment,Relief fragment,Unknown,Unknown,1981 BC,1640 BC,Granite,"Rogers Fund, 1933",Egypt
151,565027,Egyptian Art,"Linen, from Wah's Mummy","Linen, from Wah's Mummy",Unknown,Unknown,1981 BC,1975 BC,Linen,"Rogers Fund and Edward S. Harkness Gift, 1920",Egypt
152,623826,Drawings and Prints,Print,Discover Dry Dock Country: Madison Avenue between 63rd and 65th,Unknown,American,1972,1972,Commercial printing in color,"Gift of Dry Dock Savings Bank, 1973",Unknown
